#变体（必须） 本体（必须）  本体词词频（可省略）
得事    的事
天地无垠    天地无限
交通先行    交通限行    10
苹果吧    苹果八    20
iPhone差 iPhoneX
小明同学    小茗同学    1000
萧华  萧华
张旗康 张旗康
系本人 系本人
兴堰 兴堰
金诚 金诚
邱源 邱源
胡文平 胡文平
陈柯羽 陈柯羽
杨德红 杨德红
肖雄 肖雄
刘莹 刘莹
刘卿 刘卿
陈晋博 陈晋博
蒋刚 蒋刚
日起 日起
房字 房字
审事 审事
审事验 审事验
验字 验字
旅投 旅投
王絮飞 王絮飞
申祥 申祥
办发 办发
建保 建保
雅居 雅居
产城 产城
百村 百村
三绕 三绕
天温 天温
慢游 慢游
市坝 市坝
市境 市境
低山 低山
银鹊 银鹊
位于 位于
发区 发区
西控 西控
稳中 稳中
提质 提质
审字 审字
照成 照成
账龄 账龄
证载 证载
迎祥村 迎祥村
代储 代储
小计 小计
博海 博海
行成 行成
监证 监证
经开 经开
环建函 环建函
环建函 环建函
可使 可使
财发 财发
宗是 宗是
如发 如发
办发 办发
集优 集优
续承 续承
录的 录的
网银 网银
应为 应为
因发 因发
高现 高现
或主 或主
许杨 许杨
盈泰 盈泰
号楼 号楼
至到 至到
付祥 付祥
出质 出质
题及 题及
土规 土规
府代建 府代建
只均 只均
五轨 五轨
陈川 陈川
川广会验 川广会验
蒲维 蒲维
毕远哲 毕远哲
曹乐然 曹乐然
苏杨 苏杨
结茅 结茅
两违 两违
持续的 持续的
增信 增信
可研 可研
